cell_id,prov_name,dist_name,sect_name,province_name,district_name,sector_name,cell_name,total_nightlight,mean_nightlight,median_nightlight,max_nightlight,min_nightlight,std_nightlight,pixel_count,lit_pixel_count,year,lit_pixel_percentage
RWA.1.1.3.4_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kagitega,11.573877334594727,0.24112243950366974,0.0,1.187030553817749,0.0,0.2879957854747772,48,22,2024,45.83333333333333
RWA.1.1.3.4_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kagitega,1.5094964504241943,0.031447842717170715,0.0,0.15007446706295013,0.0,0.037641894072294235,48,22,2015,45.83333333333333
RWA.1.1.3.5_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kamanyana,15.24648666381836,0.13612934947013855,0.0,2.1339612007141113,0.0,0.2877320945262909,112,40,2020,35.714285714285715
RWA.1.1.3.5_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kamanyana,23.766569137573242,0.21220150589942932,0.0,3.085322141647339,0.0,0.4254474639892578,112,40,2024,35.714285714285715
RWA.1.1.3.5_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kamanyana,3.448791980743408,0.030792785808444023,0.0,0.42091310024261475,0.0,0.06537337601184845,112,40,2015,35.714285714285715
RWA.1.1.3.6_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Nyagahinga,12.315322875976562,0.139946848154068,0.22082847356796265,0.28087306022644043,0.0,0.12023930996656418,88,51,2020,57.95454545454546
RWA.1.1.3.6_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Nyagahinga,18.687042236328125,0.21235275268554688,0.3149535059928894,0.5355053544044495,0.0,0.18630605936050415,88,51,2024,57.95454545454546
RWA.1.1.3.6_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Nyagahinga,1.7495427131652832,0.019881166517734528,0.014056256040930748,0.07810893654823303,-0.011797303333878517,0.02166428044438362,88,50,2015,56.81818181818182
RWA.1.1.4.1_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Butare,9.585179328918457,0.11981473863124847,0.0,0.46131160855293274,0.0,0.14567627012729645,80,33,2020,41.25
RWA.1.1.4.1_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Butare,14.734643936157227,0.1841830462217331,0.0,0.8512914180755615,0.0,0.22933433949947357,80,33,2024,41.25
RWA.1.1.4.1_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Butare,3.667518377304077,0.045843981206417084,0.0,0.629150390625,0.0,0.09155076742172241,80,33,2015,41.25
RWA.1.1.4.2_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ndongozi,11.393985748291016,0.14066648483276367,0.23890390992164612,0.3240482807159424,0.0,0.13616390526294708,81,42,2020,51.85185185185185
RWA.1.1.4.2_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ndongozi,17.005828857421875,0.20994850993156433,0.36481815576553345,0.4845036268234253,0.0,0.20340393483638763,81,42,2024,51.85185185185185
RWA.1.1.4.2_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ndongozi,2.452481269836426,0.030277546495199203,0.017038939520716667,0.10358169674873352,0.0,0.032730840146541595,81,42,2015,51.85185185185185
RWA.1.1.4.3_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ruyange,10.036657333374023,0.14338082075119019,0.24338829517364502,0.3163370192050934,0.0,0.13606970012187958,70,37,2020,52.85714285714286
RWA.1.1.4.3_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ruyange,14.646242141723633,0.20923203229904175,0.35548537969589233,0.4592570960521698,0.0,0.19871190190315247,70,37,2024,52.85714285714286
RWA.1.1.4.3_1,Amajyaruguru,Burera,Cyeru,Unknown_Province,Unknown_District,Unknown_Sector,Ruyange,2.331432342529297,0.03330617770552635,0.03158513084053993,0.10296320915222168,0.0,0.03457031026482582,70,37,2015,52.85714285714286
RWA.1.1.5.1_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Buramba,7.355006694793701,0.061806779354810715,0.0,0.32551562786102295,0.0,0.11201880872249603,119,28,2020,23.52941176470588
RWA.1.1.5.1_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Buramba,11.672194480895996,0.0980856642127037,0.0,0.6567280292510986,0.0,0.1814069300889969,119,28,2024,23.52941176470588
RWA.1.1.5.1_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Buramba,2.2322745323181152,0.018758609890937805,0.0,0.14150641858577728,0.0,0.03799553960561752,119,28,2015,23.52941176470588
RWA.1.1.5.2_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Gisizi,12.549402236938477,0.12303335219621658,0.0,0.3227134644985199,0.0,0.13912445306777954,102,45,2020,44.11764705882353
RWA.1.1.5.2_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Gisizi,18.5234375,0.1816023290157318,0.0,0.5729995369911194,0.0,0.20773054659366608,102,45,2024,44.11764705882353
RWA.1.1.5.2_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Gisizi,2.747952461242676,0.026940710842609406,0.0,0.11819861829280853,0.0,0.033701036125421524,102,45,2015,44.11764705882353
RWA.1.1.5.3_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Kidakama,7.2446370124816895,0.17249135673046112,0.25778597593307495,0.37548771500587463,0.0,0.1439056396484375,42,25,2020,59.523809523809526
RWA.1.1.5.3_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Kidakama,13.40975570678711,0.31927990913391113,0.45086050033569336,0.8305540084838867,0.0,0.275328665971756,42,25,2024,59.523809523809526
RWA.1.1.5.3_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Kidakama,2.48935866355896,0.05927044525742531,0.07760366797447205,0.20093141496181488,0.0,0.05423635244369507,42,25,2015,59.523809523809526
RWA.1.1.5.4_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Nyangwe,15.468179702758789,0.15164881944656372,0.2451021373271942,0.33038797974586487,0.0,0.13616538047790527,102,57,2020,55.88235294117647
RWA.1.1.5.4_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Nyangwe,16.82929229736328,0.1649930626153946,0.33053457736968994,0.5565043091773987,-1.5,0.3506088852882385,102,54,2024,52.94117647058824
RWA.1.1.5.4_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Nyangwe,3.245272397994995,0.03181639686226845,0.02795279771089554,0.11811992526054382,-0.0003822882426902652,0.03349814563989639,102,56,2015,54.90196078431373
RWA.1.1.5.5_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,7.083477020263672,0.12649066746234894,0.0,0.44308406114578247,0.0,0.1542421132326126,56,23,2020,41.07142857142857
RWA.1.1.5.5_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,14.08658218383789,0.25154611468315125,0.0,1.1196503639221191,0.0,0.32138723134994507,56,23,2024,41.07142857142857
RWA.1.1.5.5_1,Amajyaruguru,Burera,Gahunga,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,2.5922417640686035,0.04629003256559372,0.0,0.2428831160068512,0.0,0.059165406972169876,56,23,2015,41.07142857142857
RWA.1.1.6.1_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Gabiro,12.754400253295898,0.1062866672873497,0.0,0.29521888494491577,0.0,0.12860433757305145,120,49,2020,40.833333333333336
RWA.1.1.6.1_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Gabiro,18.869882583618164,0.15724901854991913,0.0,0.5435935854911804,0.0,0.19208897650241852,120,49,2024,40.833333333333336
RWA.1.1.6.1_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Gabiro,3.750802755355835,0.03125669062137604,0.0,0.1666373908519745,0.0,0.04013939946889877,120,49,2015,40.833333333333336
RWA.1.1.6.2_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Musenda,14.784517288208008,0.09477254748344421,0.0,0.32469281554222107,0.0,0.12889836728572845,156,55,2020,35.256410256410255
RWA.1.1.6.2_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Musenda,22.36746597290039,0.14338119328022003,0.0,0.5490611791610718,0.0,0.19570603966712952,156,55,2024,35.256410256410255
RWA.1.1.6.2_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Musenda,3.3539621829986572,0.02149975672364235,0.0,0.08968275785446167,0.0,0.03090895712375641,156,55,2015,35.256410256410255
RWA.1.1.6.3_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwambogo,9.678567886352539,0.10998372733592987,0.0,0.3027680814266205,0.0,0.12980465590953827,88,37,2020,42.04545454545455
RWA.1.1.6.3_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwambogo,14.690938949584961,0.16694249212741852,0.0,0.46980294585227966,0.0,0.19717919826507568,88,37,2024,42.04545454545455
RWA.1.1.6.3_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwambogo,2.84326171875,0.032309792935848236,0.0,0.11759163439273834,0.0,0.03933839127421379,88,37,2015,42.04545454545455
RWA.1.1.6.4_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,13.398089408874512,0.1339809000492096,0.22667543590068817,0.3020825982093811,0.0,0.1318494826555252,100,51,2020,51.0
RWA.1.1.6.4_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,18.543224334716797,0.18543224036693573,0.315643310546875,0.4543741047382355,0.0,0.18262991309165955,100,51,2024,51.0
RWA.1.1.6.4_1,Amajyaruguru,Burera,Gatebe,Unknown_Province,Unknown_District,Unknown_Sector,Rwasa,3.9786148071289062,0.03978614881634712,0.04007542505860329,0.13716575503349304,0.0,0.04071107134222984,100,51,2015,51.0
