cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.1.15.4_1,Amajyaruguru,Burera,Ruhunde,Rusekera,186.739407,3675.620535,487.574942,777.556445,1709.9630169999998,1965.6575010000001,1285.0
RWA.1.1.16.1_1,Amajyaruguru,Burera,Rusarabuye,Kabona,464.56178,8469.847265,1116.512808,1805.758879,4129.947844,4339.899421,1778.0
RWA.1.1.16.2_1,Amajyaruguru,Burera,Rusarabuye,Ndago,437.402682,7950.342278,1049.686442,1698.748377,3869.440195,4080.9020729999997,1703.0
RWA.1.1.16.3_1,Amajyaruguru,Burera,Rusarabuye,Ruhanga,353.96664400000003,6461.683111,853.1718319999999,1382.097961,3147.210884,3314.472171,1287.0
RWA.1.1.17.1_1,Amajyaruguru,Burera,Rwerere,Gacundura,257.01131599999997,4857.474465,669.71838,1130.906654,2292.746783,2564.726492,1435.0
RWA.1.1.17.2_1,Amajyaruguru,Burera,Rwerere,Gashoro,247.13948599999998,4674.722444,644.656712,1088.895936,2206.386838,2468.334452,1188.0
RWA.1.1.17.3_1,Amajyaruguru,Burera,Rwerere,Ruconsho,205.559679,3893.637326,535.7558280000001,899.5820239999999,1835.107127,2058.529318,1179.0
RWA.1.1.17.4_1,Amajyaruguru,Burera,Rwerere,Rugari,202.35414899999998,3825.889876,527.553528,890.976079,1805.7567820000002,2020.132153,1089.0
RWA.1.2.1.1_1,Amajyaruguru,Gakenke,Busengo,Birambo,104.70395099999999,1960.467867,264.919875,382.852639,924.4689109999999,1035.998956,453.0
RWA.1.2.1.2_1,Amajyaruguru,Gakenke,Busengo,Butereri,161.47323899999998,3007.356703,405.156792,590.835674,1417.289062,1590.067641,749.0
RWA.1.2.1.3_1,Amajyaruguru,Gakenke,Busengo,Byibuhiro,137.066274,2537.55237,341.322939,495.82741500000003,1196.186883,1341.365487,530.0
