cell_id,elderly_60,general_pop,children_under5,youth_15_24,men_2020,women_2020,building_count
RWA.3.5.6.2_1,373,6835,1078,1173,3217,3617,1204
RWA.3.5.6.3_1,357,6543,1032,1123,3080,3463,959
RWA.3.5.6.4_1,285,5193,823,896,2449,2744,1083
RWA.3.5.6.5_1,334,6116,965,1050,2879,3236,939
RWA.3.5.7.1_1,281,4931,729,985,2345,2586,1112
RWA.3.5.7.2_1,311,5362,790,1068,2546,2815,1073
RWA.3.5.7.3_1,296,4909,721,973,2324,2584,1022
RWA.3.5.7.4_1,371,6157,904,1218,2915,3242,1544
RWA.3.5.7.5_1,396,6607,972,1306,3128,3478,1563
RWA.3.5.8.1_1,214,4213,652,811,2007,2206,816
RWA.3.5.8.2_1,268,5273,816,1015,2512,2760,1314
RWA.3.5.8.3_1,302,5938,919,1143,2829,3108,1231
RWA.3.5.8.4_1,229,4507,697,868,2147,2359,875
RWA.3.5.8.5_1,296,5813,899,1119,2770,3043,1259
RWA.3.5.9.1_1,500,10789,1787,2110,5185,5604,2071
RWA.3.5.9.2_1,376,8146,1347,1600,3919,4227,1692
RWA.3.5.9.3_1,393,8495,1405,1668,4086,4409,1778
RWA.3.5.9.4_1,573,12365,2037,2434,5957,6407,1959
RWA.3.5.10.1_1,483,8525,1282,1809,4069,4455,1971
RWA.3.5.10.2_1,425,7574,1143,1620,3619,3955,1688
RWA.3.5.10.3_1,393,7004,1056,1498,3346,3657,1390
RWA.3.5.10.4_1,475,8465,1277,1811,4045,4419,1968
RWA.3.5.11.1_1,308,6304,1174,1150,2999,3304,1374
RWA.3.5.11.2_1,417,8517,1587,1554,4052,4465,1755
RWA.3.5.11.3_1,310,6314,1169,1153,3002,3311,1072
RWA.3.5.11.4_1,576,11761,2191,2146,5595,6166,1775
RWA.3.5.11.5_1,435,8872,1653,1619,4220,4651,1510
RWA.3.5.12.1_1,276,5831,978,1086,2771,3060,875
RWA.3.5.12.2_1,197,4181,701,779,1987,2193,908
RWA.3.5.12.3_1,343,7165,1194,1342,3412,3752,1127
RWA.3.5.12.4_1,453,9580,1608,1784,4554,5026,1671
RWA.3.5.12.5_1,240,5077,852,945,2413,2663,1120
RWA.3.5.12.6_1,409,8638,1449,1609,4106,4532,1396
RWA.3.5.13.1_1,476,9458,1613,1753,4468,4989,1631
RWA.3.5.13.2_1,296,5884,1003,1091,2780,3104,1057
RWA.3.5.13.3_1,338,6715,1145,1245,3173,3542,1146
RWA.3.5.13.4_1,365,7249,1236,1344,3424,3824,1641
RWA.3.5.14.1_1,371,6312,1045,1144,3026,3286,1377
RWA.3.5.14.2_1,482,8183,1355,1484,3924,4259,1578
RWA.3.5.14.3_1,479,8204,1361,1490,3930,4273,1488
RWA.3.5.14.4_1,403,6837,1132,1239,3278,3558,1331
RWA.3.6.1.1_1,128,3379,484,673,1623,1755,1085
RWA.3.6.1.2_1,194,5161,742,1027,2480,2680,1849
RWA.3.6.1.3_1,257,6818,978,1359,3276,3542,2385
RWA.3.6.1.4_1,133,3550,510,707,1706,1844,1318
RWA.3.6.1.5_1,210,5529,791,1101,2656,2872,1433
RWA.3.6.1.6_1,218,5799,832,1156,2786,3013,1807
RWA.3.6.1.7_1,109,2882,413,574,1385,1497,1044
RWA.3.6.2.1_1,153,3564,491,731,1689,1875,919
RWA.3.6.2.2_1,122,2876,397,589,1364,1512,959
RWA.3.6.2.3_1,126,2947,406,604,1397,1550,880
RWA.3.6.2.4_1,144,3356,463,688,1591,1765,1161
RWA.3.6.2.5_1,345,8058,1111,1653,3819,4238,2374
RWA.3.6.2.6_1,250,5822,803,1195,2759,3063,1253
RWA.3.6.2.7_1,260,6221,865,1269,2956,3264,1378
RWA.3.6.3.1_1,499,11028,1893,2137,5507,5520,980
RWA.3.6.3.2_1,396,9121,1526,1793,4538,4583,765
RWA.3.6.3.3_1,200,4426,760,858,2210,2215,406
RWA.3.6.3.4_1,749,16567,2844,3212,8273,8293,2340
RWA.3.6.3.5_1,434,9599,1648,1860,4794,4804,1249
RWA.3.6.3.6_1,927,20479,3517,3970,10228,10251,2105
RWA.3.6.3.7_1,195,4325,742,838,2160,2165,829
RWA.3.6.3.8_1,860,18996,3262,3682,9487,9508,2253
RWA.3.6.3.9_1,323,7137,1225,1383,3564,3572,845
RWA.3.6.3.10_1,497,10973,1884,2127,5480,5493,1379
RWA.3.6.3.11_1,362,7999,1373,1550,3995,4004,949
RWA.3.6.4.1_1,169,5833,895,1193,2819,3013,1300
RWA.3.6.4.2_1,125,4304,661,880,2081,2223,834
RWA.3.6.4.3_1,86,2995,459,613,1448,1547,429
RWA.3.6.4.4_1,135,4689,719,959,2266,2422,898
RWA.3.6.4.5_1,105,3637,558,744,1758,1879,805
RWA.3.6.4.6_1,261,9024,1385,1846,4362,4661,1499
RWA.3.6.4.7_1,151,5224,802,1068,2525,2698,747
RWA.3.6.4.8_1,173,5762,887,1164,2777,2984,766
RWA.3.6.4.9_1,99,3442,528,704,1664,1778,466
RWA.3.6.5.1_1,230,3812,428,794,1794,2017,714
RWA.3.6.5.2_1,86,1436,160,299,676,760,415
RWA.3.6.5.3_1,243,4025,450,838,1895,2130,893
RWA.3.6.5.4_1,162,2694,300,561,1268,1425,613
RWA.3.6.5.5_1,237,4068,464,844,1919,2149,866
RWA.3.6.5.6_1,91,1512,168,315,711,800,535
RWA.3.6.6.1_1,316,6885,1076,1427,3409,3476,775
RWA.3.6.6.2_1,189,4004,615,840,1981,2022,674
RWA.3.6.6.3_1,149,3158,485,663,1563,1595,552
RWA.3.6.6.4_1,203,4281,657,898,2118,2162,726
RWA.3.6.6.5_1,108,2286,351,479,1131,1154,446
RWA.3.6.6.6_1,333,7130,1099,1491,3527,3603,1237
RWA.3.6.6.7_1,125,2665,410,558,1318,1346,564
RWA.3.6.6.8_1,252,5320,817,1117,2633,2687,758
RWA.3.6.7.1_1,126,3915,593,767,1869,2045,1395
RWA.3.6.7.2_1,204,6281,946,1236,3001,3280,1604
RWA.3.6.7.3_1,281,8784,1327,1727,4196,4587,2515
RWA.3.6.7.4_1,127,3973,601,780,1898,2075,1448
RWA.3.6.7.5_1,107,3354,507,659,1602,1752,2084
RWA.3.6.8.1_1,92,2081,277,408,1001,1079,889
RWA.3.6.8.2_1,167,3779,504,742,1818,1961,746
RWA.3.6.8.3_1,274,5934,789,1171,2852,3081,1088
RWA.3.6.8.4_1,149,3375,450,662,1624,1751,1117
RWA.3.6.8.5_1,228,5301,717,1042,2549,2751,1268
RWA.3.6.8.6_1,202,4582,612,899,2204,2377,1826
RWA.3.6.9.1_1,306,8447,1370,1646,4136,4311,764
RWA.3.6.9.2_1,212,5766,931,1127,2827,2939,749
RWA.3.6.9.3_1,256,7076,1147,1378,3464,3611,854
RWA.3.6.9.4_1,208,5718,926,1116,2800,2917,1235
RWA.3.6.9.5_1,329,9084,1473,1770,4448,4636,791
RWA.3.6.9.6_1,309,8544,1385,1664,4183,4360,678
RWA.3.6.9.7_1,167,4612,747,898,2258,2353,811
RWA.3.6.9.8_1,287,7945,1288,1548,3890,4055,708
RWA.3.6.10.1_1,638,18550,2935,3968,9307,9242,2659
RWA.3.6.10.2_1,523,15031,2387,3203,7540,7491,1839
RWA.3.6.10.3_1,274,8443,1301,1720,4111,4331,2204
RWA.3.6.10.4_1,440,12632,2006,2692,6336,6295,1512
RWA.3.6.10.5_1,277,8067,1277,1725,4047,4019,948
RWA.3.6.10.6_1,306,8975,1434,1899,4502,4472,1011
RWA.3.6.10.7_1,789,22952,3632,4910,11515,11436,2849
RWA.3.6.10.8_1,492,13797,2206,2918,6918,6878,1294
RWA.3.6.10.9_1,302,8523,1360,1806,4274,4248,705
RWA.3.6.11.1_1,239,6993,1073,1348,3392,3600,1930
RWA.3.6.11.2_1,445,13044,2004,2516,6327,6716,3764
RWA.3.6.11.3_1,319,9372,1442,1806,4547,4825,2827
RWA.3.6.11.4_1,289,8511,1310,1640,4130,4381,1920
RWA.3.6.11.5_1,389,11443,1761,2205,5552,5891,2328
RWA.3.6.12.1_1,194,3670,540,777,1855,1814,1022
RWA.3.6.12.2_1,230,5177,821,1047,2606,2570,767
RWA.3.6.12.3_1,191,3900,584,826,1968,1931,839
RWA.3.6.12.4_1,135,2553,376,540,1290,1262,538
RWA.3.6.12.5_1,187,3599,533,756,1807,1791,684
RWA.3.6.12.6_1,91,1715,252,363,867,848,334
RWA.3.6.12.7_1,108,2034,299,430,1028,1006,648
RWA.3.6.12.8_1,260,4992,739,1050,2510,2481,1927
RWA.3.6.12.9_1,182,3440,506,728,1739,1701,919
RWA.3.6.12.10_1,150,2832,417,599,1431,1400,957
RWA.3.6.13.1_1,564,18250,3216,3428,9138,9111,1873
RWA.3.6.13.2_1,445,14412,2544,2700,7216,7196,1394
RWA.3.6.13.3_1,1143,36458,6433,6838,18251,18206,1758
RWA.3.6.13.4_1,293,9417,1659,1767,4715,4702,871
RWA.3.6.13.5_1,818,26328,4625,4966,13184,13144,2090
RWA.3.6.13.6_1,149,4848,855,908,2427,2420,959
RWA.3.6.13.7_1,732,23105,4103,4310,11545,11560,1183
RWA.3.6.13.8_1,496,16077,2838,3012,8050,8027,2318
RWA.3.6.14.1_1,214,4648,712,936,2250,2398,980
RWA.3.6.14.2_1,474,10166,1551,2058,4945,5220,2200
RWA.3.6.14.3_1,353,7672,1175,1545,3714,3957,2366
RWA.3.6.14.4_1,388,8430,1291,1697,4081,4349,2693
RWA.3.6.14.5_1,348,7580,1156,1528,3666,3914,2410
RWA.3.6.14.6_1,209,4610,690,932,2221,2389,1289
RWA.3.6.14.7_1,386,8384,1284,1688,4059,4325,1397
RWA.3.7.1.1_1,214,4563,782,933,2202,2361,1078
RWA.3.7.1.2_1,328,7021,1202,1429,3390,3630,3005
RWA.3.7.1.3_1,252,5474,934,1126,2650,2824,2400
RWA.3.7.1.4_1,241,5128,879,1046,2476,2652,1297
RWA.3.7.1.5_1,203,4338,744,888,2094,2244,1197
RWA.3.7.1.6_1,208,4443,762,910,2145,2298,1067
RWA.3.7.2.1_1,200,4518,756,898,2201,2316,1125
RWA.3.7.2.2_1,83,1868,309,372,909,959,365
RWA.3.7.2.3_1,102,2308,386,458,1124,1183,512
RWA.3.7.2.4_1,153,3423,566,681,1666,1756,1083
RWA.3.7.2.5_1,206,4636,776,922,2259,2377,1668
RWA.3.7.2.6_1,152,3427,573,681,1669,1757,1069
RWA.3.7.2.7_1,211,4761,796,947,2320,2440,1868
RWA.3.7.2.8_1,280,6318,1057,1256,3078,3239,2353
RWA.3.7.3.1_1,138,2585,418,495,1244,1341,584
RWA.3.7.3.2_1,389,7304,1176,1411,3520,3784,1737
RWA.3.7.3.3_1,163,3073,498,588,1475,1597,480
RWA.3.7.3.4_1,158,2944,476,564,1417,1527,621
RWA.3.7.3.5_1,217,4051,655,776,1950,2101,627
RWA.3.7.3.6_1,386,7370,1188,1425,3548,3821,1464
RWA.3.7.3.7_1,240,4479,724,858,2156,2323,1009
RWA.3.7.4.1_1,269,4637,618,913,2254,2382,885
RWA.3.7.4.2_1,117,2025,270,399,985,1040,656
RWA.3.7.4.3_1,195,3359,448,662,1633,1725,1191
RWA.3.7.4.4_1,188,3235,431,637,1573,1662,1114
RWA.3.7.4.5_1,205,3534,471,696,1718,1815,1247
RWA.3.7.4.6_1,248,4277,570,842,2080,2197,1820
